iter	RMSE
379	342077.8882
380	341948.6665
381	341742.9803
382	341592.2637
383	341473.7884
384	341201.9414
385	341115.8336
386	341074.5405
387	341020.4226
388	340846.0398
389	340806.6419
390	340738.7661
391	340565.032
392	340400.4981
393	340353.2326
394	340316.6195
395	340241.0656
396	340131.2689
397	340032.2076
398	339864.7453
399	339744.4248
400	339659.7247
401	339501.2638
402	339322.3901
403	339188.7666
404	339153.1399
405	339104.6943
406	339012.795
407	338893.582
408	338825.2048
409	338787.9132
410	338696.114
411	338611.2236
412	338513.8472
413	338480.6002
414	338302.7551
415	338150.0295
416	338062.7614
417	337940.2489
418	337911.6987
419	337640.3586
420	337459.847
421	337433.0834
422	337318.3108
423	337273.7469
424	337192.8243
425	337160.1914
426	337005.1704
427	336854.1683
428	336770.6406
429	336678.4145
430	336631.5922
431	336523.4898
432	336423.7931
433	336349.2513
434	336267.6675
435	336156.1441
436	336092.8962
437	335989.842
438	335855.1922
439	335757.9164
440	335659.2059
441	335591.4826
442	335494.6535
443	335376.1485
444	335277.8339
445	335152.8172
446	335087.1633
447	334978.4621
448	334908.6451
449	334659.8839
450	334583.2293
451	334517.5669
452	334446.2931
453	334410.9773
454	334382.1547
455	334247.7573
456	334217.802
457	334137.8414
458	334050.4593
459	333944.6334
460	333897.9235
461	333826.9307
462	333687.4793
463	333645.025
464	333503.3552
465	333414.0707
466	333326.3428
467	333283.4023
468	333173.8796
469	333121.0612
470	333054.7062
471	332943.4314
472	332856.3389
473	332748.0571
474	332644.3695
475	332593.132
476	332456.0825
477	332379.1766
478	332127.9561
479	331981.6718
480	331856.9161
481	331800.1761
482	331727.1105
483	331565.1296
484	331502.6673
485	331406.0002
486	331344.9083
487	331269.2691
488	331230.0419
489	331028.9214
490	330958.5462
491	330905.249
492	330827.1991
493	330737.578
494	330590.9858
495	330523.0682
496	330504.1809
497	330441.0338
498	330328.3783
499	330282.4413
500	330209.6097
501	330168.6822
502	330141.4771
503	330060.1626
504	330026.9061
505	329902.672
506	329828.0544
507	329674.0175
508	329605.5906
509	329484.566
510	329428.7238
511	329371.0329
512	329336.7036
513	329258.7155
514	329117.252
515	329061.0675
516	329006.0528
517	328919.4602
518	328794.5965
519	328753.8545
520	328657.0787
521	328614.5365
522	328546.8056
523	328433.689
524	328404.2297
525	328155.4075
526	328099.1444
527	328043.2067
528	328004.0337
529	327957.0381
530	327893.222
531	327830.1437
532	327795.732
533	327770.0609
534	327699.962
535	327601.4738
536	327544.758
537	327407.4526
538	327373.4981
539	327233.5192
540	327121.039
541	327071.2497
542	327013.7718
543	326965.373
544	326915.1232
545	326853.1737
546	326790.2228
547	326702.7879
548	326649.6434
549	326552.932
550	326445.3387
551	326356.9142
552	326328.7712
553	326284.7489
554	326235.3972
555	326184.0318
556	326063.257
557	326021.265
558	325979.7423
559	325874.9774
560	325752.2218
561	325704.3686
562	325659.4018
563	325623.1151
564	325567.4629
565	325498.2642
566	325474.8254
567	325319.7159
568	325283.7743
569	325126.3956
570	325085.8504
571	324935.091
572	324874.5847
573	324829.8615
574	324794.4055
575	324752.3202
576	324659.6754
577	324624.8722
578	324468.7214
579	324341.6415
580	324287.3659
581	324259.3729
582	324224.8403
583	324176.9005
584	324136.8863
585	324096.4584
586	324060.7412
587	324021.5287
588	323928.2878
589	323887.7267
590	323851.251
591	323808.7802
592	323756.4871
593	323641.3747
594	323551.6924
595	323516.5767
596	323444.4486
597	323422.933
598	323296.4162
599	323131.7584
600	323100.642
601	323053.0638
602	322956.8091
603	322918.7802
604	322853.1537
605	322829.9379
606	322725.3651
607	322577.8727
608	322524.1579
609	322459.3161
610	322410.4953
611	322354.6371
612	322304.6058
613	322275.0976
614	322144.3358
615	322072.0675
616	321988.2961
617	321823.5712
618	321702.9591
619	321656.076
620	321585.9881
621	321526.9459
622	321484.2538
623	321355.4938
624	321301.7905
625	321216.4007
626	321173.0828
627	321128.1567
628	321046.1227
629	320934.3517
630	320858.4377
631	320797.2328
